m3u_name,provider_id,matched_epg_channel_id,epg_display_names,match_strategy,uses_placeholder_epg
-= Denmark =-,9675,,,no norm name,yes
N1 Info & Updates DK,61239,,,no match,yes
DR 1 DK,23447,dr1.dk,DR 1 FHD DK,"norm match (multi, chose dk)",
DR 1 HD DK,8192,dr1.dk,DR 1 FHD DK,"norm match (multi, chose dk)",
DR 1 FHD DK,23504,dr1.dk,DR 1 FHD DK,"norm match (multi, chose dk)",
DR 2 DK,37439,dr2.dk,DR 2 FHD DK,"norm match (multi, chose dk)",
DR 2 HD DK,8193,dr2.dk,DR 2 FHD DK,"norm match (multi, chose dk)",
DR 2 FHD DK,296871,dr2.dk,DR 2 FHD DK,"norm match (multi, chose dk)",
DR Ramasjang HD DK,8194,drramasjang.dk,DR Ramasjang FHD DK,"norm match (multi, chose dk)",
DR Ramasjang FHD DK,21229,drramasjang.dk,DR Ramasjang FHD DK,"norm match (multi, chose dk)",
Play 1 HD DK,772173,,,no match,yes
Play 2 HD DK,772174,,,no match,yes
Play 3 HD DK,772175,,,no match,yes
TV2 HD DK,23446,tv2.dk,TV2 HD DK,"norm match (multi, chose dk)",
TV2 FHD DK,11668,tv2.dk,TV2 HD DK,"norm match (multi, chose dk)",
TV2 Echo DK,86909,tv2zulu.dk,TV2 Echo FHD DK,"norm match (multi, chose dk)",
TV2 Echo HD DK,11672,tv2zulu.dk,TV2 Echo FHD DK,"norm match (multi, chose dk)",
TV2 Echo FHD DK,946820,tv2zulu.dk,TV2 Echo FHD DK,"norm match (multi, chose dk)",
TV2 Fri DK,86904,tv2fri.dk,TV2 Fri FHD DK,"norm match (multi, chose dk)",
TV2 Fri HD DK,11670,tv2fri.dk,TV2 Fri FHD DK,"norm match (multi, chose dk)",
TV2 Fri FHD DK,946818,tv2fri.dk,TV2 Fri FHD DK,"norm match (multi, chose dk)",
TV2 Charlie DK,11671,tv2charlie.dk,TV2 Charlie FHD DK,"norm match (multi, chose dk)",
TV2 Charlie HD DK,51601,tv2charlie.dk,TV2 Charlie FHD DK,"norm match (multi, chose dk)",
TV2 Charlie FHD DK,946819,tv2charlie.dk,TV2 Charlie FHD DK,"norm match (multi, chose dk)",
TV2 News DK,43367,tv2news.dk,TV2 News HD DK,"norm match (multi, chose dk)",
TV2 News HD DK,854606,tv2news.dk,TV2 News HD DK,"norm match (multi, chose dk)",
TV2 News FHD DK,8205,tv2news.dk,TV2 News HD DK,"norm match (multi, chose dk)",
TV2 Sport DK,8175,tv2sport.dk,TV2 Sport HD DK,"norm match (multi, chose dk)",
TV2 Sport HD DK,904904,tv2sport.dk,TV2 Sport HD DK,"norm match (multi, chose dk)",
TV2 Sport FHD DK,19536,tv2sport.dk,TV2 Sport HD DK,"norm match (multi, chose dk)",
